school_id,country,school_name,homepage_url,seed_kind,source
US00163,usa,University Of Virginia Charlottesville,https://collegedunia.com/usa/university/1118-university-of-virginia-charlottesville,school_homepage,new_vs_265
US00164,usa,Eastern Washington University Cheney,https://collegedunia.com/usa/university/1120-eastern-washington-university-cheney,school_homepage,usa_master_923_backfill
US00165,usa,Widener University Chester,https://collegedunia.com/usa/university/1121-widener-university-chester,school_homepage,usa_master_923_backfill
US00166,usa,Washington College Chestertown,https://collegedunia.com/usa/college/1125-washington-college-chestertown,school_homepage,new_vs_265
US00167,usa,Loyola University Chicago,https://collegedunia.com/usa/university/1127-loyola-university-chicago,school_homepage,new_vs_265
US00168,usa,Saint Xavier University Chicago,https://collegedunia.com/usa/university/1128-saint-xavier-university-chicago,school_homepage,usa_master_923_backfill
US00169,usa,The University Of Chicago Chicago,https://collegedunia.com/usa/college/1129-the-university-of-chicago-chicago,school_homepage,new_vs_265
US00170,usa,Illinois Institute Of Technology Chicago,https://collegedunia.com/usa/university/1130-illinois-institute-of-technology-chicago,school_homepage,new_vs_265
US00171,usa,University Of Illinois Chicago,https://collegedunia.com/usa/university/1131-university-of-illinois-chicago,school_homepage,base_265
US00172,usa,Roosevelt University Chicago,https://collegedunia.com/usa/university/1132-roosevelt-university-chicago,school_homepage,usa_master_923_backfill
US00173,usa,Rush University Chicago,https://collegedunia.com/usa/university/1133-rush-university-chicago,school_homepage,usa_master_923_backfill
US00174,usa,Depaul University Chicago,https://collegedunia.com/usa/university/1134-depaul-university-chicago,school_homepage,new_vs_265
US00175,usa,Northeastern Illinois University Chicago,https://collegedunia.com/usa/university/1135-northeastern-illinois-university-chicago,school_homepage,usa_master_923_backfill
US00176,usa,Columbia College Chicago Chicago,https://collegedunia.com/usa/college/1137-columbia-college-chicago-chicago,school_homepage,usa_master_923_backfill
US00177,usa,Chicago State University Chicago,https://collegedunia.com/usa/university/1138-chicago-state-university-chicago,school_homepage,usa_master_923_backfill
US00178,usa,North Park University Chicago,https://collegedunia.com/usa/university/1140-north-park-university-chicago,school_homepage,usa_master_923_backfill
US00179,usa,Robert Morris University Illinois Chicago,https://collegedunia.com/usa/university/1147-robert-morris-university---illinois-chicago,school_homepage,usa_master_923_backfill
US00180,usa,California State University Chico,https://collegedunia.com/usa/university/1149-california-state-university-chico,school_homepage,usa_master_923_backfill
US00181,usa,University Of Cincinnati Cincinnati,https://collegedunia.com/usa/university/1151-university-of-cincinnati-cincinnati,school_homepage,new_vs_265
US00182,usa,Xavier University Cincinnati,https://collegedunia.com/usa/university/1152-xavier-university-cincinnati,school_homepage,usa_master_923_backfill
US00183,usa,Claremont Mckenna College Claremont,https://collegedunia.com/usa/college/1158-claremont-mckenna-college-claremont,school_homepage,usa_master_923_backfill
US00184,usa,Harvey Mudd College Claremont,https://collegedunia.com/usa/college/1159-harvey-mudd-college-claremont,school_homepage,usa_master_923_backfill
US00185,usa,Pitzer College Claremont,https://collegedunia.com/usa/college/1160-pitzer-college-claremont,school_homepage,usa_master_923_backfill
US00186,usa,Pomona College Claremont,https://collegedunia.com/usa/college/1161-pomona-college-claremont,school_homepage,usa_master_923_backfill
US00187,usa,Clarion University Of Pennsylvania Clarion,https://collegedunia.com/usa/university/1163-clarion-university-of-pennsylvania-clarion,school_homepage,usa_master_923_backfill
US00188,usa,Austin Peay State University Clarksville,https://collegedunia.com/usa/university/1165-austin-peay-state-university-clarksville,school_homepage,usa_master_923_backfill
US00189,usa,Clemson University Clemson,https://collegedunia.com/usa/university/1166-clemson-university-clemson,school_homepage,new_vs_265
US00190,usa,Case Western Reserve University Cleveland,https://collegedunia.com/usa/university/1167-case-western-reserve-university-cleveland,school_homepage,usa_master_923_backfill
US00191,usa,Cleveland State University Cleveland,https://collegedunia.com/usa/university/1168-cleveland-state-university-cleveland,school_homepage,new_vs_265
US00192,usa,Delta State University Cleveland,https://collegedunia.com/usa/university/1169-delta-state-university-cleveland,school_homepage,usa_master_923_backfill
US00193,usa,Lee University Cleveland,https://collegedunia.com/usa/university/1171-lee-university-cleveland,school_homepage,usa_master_923_backfill
US00194,usa,Mississippi College Clinton,https://collegedunia.com/usa/college/1173-mississippi-college-clinton,school_homepage,usa_master_923_backfill
US00195,usa,Hamilton College Clinton,https://collegedunia.com/usa/college/1174-hamilton-college-clinton,school_homepage,usa_master_923_backfill
US00196,usa,University Of Maryland College Park,https://collegedunia.com/usa/university/1177-university-of-maryland-college-park,school_homepage,new_vs_265
US00197,usa,Texas Aandm University College Station,https://collegedunia.com/usa/university/1178-texas-aandm-university-college-station,school_homepage,new_vs_265
US00198,usa,Colorado Technical University Colorado Springs,https://collegedunia.com/usa/university/1180-colorado-technical-university-colorado-springs,school_homepage,usa_master_923_backfill
US00199,usa,Colorado College Colorado Springs,https://collegedunia.com/usa/college/1181-colorado-college-colorado-springs,school_homepage,usa_master_923_backfill
US00200,usa,University Of Colorado Colorado Springs,https://collegedunia.com/usa/university/1182-university-of-colorado-colorado-springs,school_homepage,usa_master_923_backfill
US00201,usa,University Of South Carolina Columbia,https://collegedunia.com/usa/college/1183-university-of-south-carolina-columbia,school_homepage,new_vs_265
US00202,usa,University Of Missouri Columbia,https://collegedunia.com/usa/university/1184-university-of-missouri-columbia,school_homepage,new_vs_265
US00203,usa,Columbia International University Columbia,https://collegedunia.com/usa/university/1185-columbia-international-university-columbia,school_homepage,usa_master_923_backfill
US00204,usa,Ohio State University Columbus,https://collegedunia.com/usa/university/1187-ohio-state-university-columbus,school_homepage,base_265
US00205,usa,Capital University Columbus,https://collegedunia.com/usa/university/1188-capital-university-columbus,school_homepage,usa_master_923_backfill
US00206,usa,Columbus State University Columbus,https://collegedunia.com/usa/university/1189-columbus-state-university-columbus,school_homepage,usa_master_923_backfill
